人	人入
言日四又	谩謾
言田八夂	谡謖
言小月	诮誚
言田月	谓謂
言且	诅詛
言冂口	诇詗
言冂一口	𫍣詷
言山	讪訕
言冂人	讷訥
言𠂉十	许許
言舌	话話
言牛口	诰誥
言𠂉木	诛誅
立丿彡頁	颜顔
言禾㇆丿	诱誘
言𠂉母	诲誨
言川	训訓
言隹	谁誰
文川刂	剂剤
言隹灬	谯譙
言人月刂	谕諭
言人王	诠詮
言人非一	谶讖
言人彡	诊診
言斤一口	诟詬
言斤	䜣訢
言爪十凵	谣謡
言犭王	诳誑
亠几頁	颃頏
言風	讽諷
言𠂊厂卩	诡詭
言勹日	询詢
言匕日	诣詣
言𠂊臼	谄諂
言匕匕白	谐諧
言氏丶	诋詆
言𠂊尹	诤諍
言亠口小	谅諒
言立日	谙諳
言立丿彡	谚諺
辛言辛	辩辯
言亠冖巾	谛諦
言亠冖方	谤謗
言方	访訪
文門木四	斓斕
言羊	详詳
言䒑八皿	谥謚
言火火	谈談
言之米	谜謎
言䒑刂八	谦謙
言冖車	诨諢
言之一㠯	谴譴
言宀且	谊誼
言宀丿七	诧詫
言㇕大	诀訣
言皮	诐詖
言又用	诵誦
言㇆一口	词詞
言乙十	讯訊
言刀口	诏詔
言廴丿止	诞誕
言刀丶	讱訒
言己	记記
言厶口	诒詒
亠乡人頁	颏頦
辛絲辛	辫辮
門土土	闺閨
門三	闫閆
冫馬	冯馮
疒木𠂊貝	癞癩
門木四	阑闌
广車	库庫
門大申	阉閹
广龍	庞龐
門戈口一	阈閾
門圍木	阃閫
門甲	闸閘
門日日	阊閶
門一	闩閂
門王	闰閏
門木	闲閑
門虫	闽閩
門言	訚誾
門馬	闯闖
門亻戈	阀閥
門人	闪閃
門爪冖又	阌閿
疒風	疯瘋
冫欠貝	资資
門𠂊臼	阎閻
疒魚羊	癣癬
門亠几	闶閌
門亠乡人	阂閡
門丷口儿	阅閲
門氵舌	阔闊
門心	闷悶
門癶一大	阕闋
門㇕耳攵	阚闞
疒阝彐心	瘾癮
忄長	怅悵
羊魚	鲝鯗
忄十艹貝	愤憤
忄木𠂊貝	懒懶
米女	娄籹
火頁	烦煩
忄車斤	惭慚
忄門文	悯憫
火門心	焖燜
忄冖車	恽惲
丷弓亻鳥	鹈鵜
忄母貝	惯慣
氵工鳥	鸿鴻
氵丰貝	渍漬
氵龍	泷瀧
氵車斤	渐漸
氵之車	涟漣
氵卜貝	浈湞
氵貝	𬇙浿
氵魚	渔漁
氵門王	润潤
氵門木四	澜瀾
氵門日	涧澗
氵冖車	浑渾
⺍冖見	觉覚
氵弓長	涨漲
氵絲隹	潍濰
宀甘八貝	赛賽
宀甘八馬	骞騫
宀龍	宠寵
示卜貝	祯禎
之中一貝	遗遺
示見	视視
冖隹鳥	鹤鶴
宀夂口頁	额額
示馬	祃禡
衤广車	裤褲
馬丰石	𬴃騞
馬耳又乑	骤驟
馬其	骐騏
馬大丁口	骑騎
馬大	驮馱
馬匚乂	驱駆
馬圍大	骃駰
馬口乂	驶駛
馬非	𬴂騑
馬田木	骒騍
馬田絲	骡騾
馬且	驵駔
馬冂口	𬳶駉
馬四	驷駟
馬川	驯馴
馬隹	骓騅
馬鬼夂心	骢驄
馬乂乂	驳駁
馬勹口	驹駒
馬夂口	骆駱
馬氏刀田	骝騮
馬丶王	驻駐
馬辛	骍騂
馬衣口甘	骧驤
馬亠乡人	骇駭
馬丬廿八	骥驥
馬䒑艹	骈駢
馬宀匕	驼駝
馬户习习	骟騸
又㇕丨頁	预預
馬又	驭馭
馬馬馬	骉驫
馬尸子子	骣驏
馬也	驰馳
馬厶口	骀駘
馬厶八夂	骏駿
阝龍	陇隴
阝車	阵陣
力口貝	贺賀
力口馬	驾駕
絲一寸	纡紆
絲士口	结結
絲者	绪緒
絲土八夂	绫綾
絲二厶	纭紜
絲丰月	𬘬綪
絲丰阝	绑綁
絲寸	纣紂
絲甘	绀紺
絲革	缂緙
絲廿乚	绁紲
絲甫寸	缚縛
絲木木	𬘭綝
絲木目	缃緗
絲辰寸	缛縟
絲㇕圍目	缅緬
絲戊一口	缄緘
絲至	绖絰
絲卜日十	绰綽
絲口耳	缉緝
絲圍大	𬘡絪
絲口月	绢絹
絲非	绯緋
絲日四又	缦縵
絲小丿	纱紗
絲小月	绡綃
絲日一止	缇緹
絲田絲	缧縲
絲周土口	绸綢
絲冂口	䌹絅
絲貝貝女	缨纓
絲冂人	纳納
絲丿士	纴紝
絲牛儿貝	缵纘
女馬	妈媽
絲禾㇆丿	绣綉
絲亻三殳	缎緞
絲川	𬘓紃
絲隹	维維
絲白巾	绵綿
絲白方攵	缴繳
絲人一口	给給
絲人二厶	绘絵
絲行	绗絎
絲八刀	纷紛
絲爪大又	缓緩
絲爪女	绥綏
絲丸	纨紈
絲氏	纸紙
絲夂卜口	绺綹
絲夂口	络絡
絲勹日	绚絢
絲勹丶	约約
絲夂冫	终終
絲𠂊巴	绝絶
絲文	纹紋
絲方	纺紡
女門木	娴嫻
絲半	绊絆
絲丷四日	缯繒
絲羊䒑口	缮繕
絲米乚	继継
絲宀示	综綜
絲宀一止	绽綻
絲宀一白	缩縮
絲之夂丰	缝縫
絲宀㠯	绾綰
絲彐丨	纽紐
絲彐水	绿緑
絲又㇕丨	纾紓
絲弓丨	纼紖
絲刀口	绍紹
母貝	贯貫
絲㇆人	级級
絲弓川	绋紼
絲刀丶	纫紉
絲己	纪紀
絲彑豕	缘緣
絲凵	纠糾
絲厶口	绐紿
絲巛田木	缫繅
一口丁鳥	鹝鷊
一夕甲一	殚殫
一夕刂鳥	䴕鴷
工貝	贡貢
工人人見	觋覡
工人人鳥	鹀鵐
土口貝	埙塤
土川卜貝	赪赬
土烏	坞塢
士冖車殳	毂轂
耳中一貝	聩聵
丰貝力	𪟝勣
丰力攵貝	赘贅
丰力攵魚	鳌鰲
丰力攵馬	骜驁
丰月鳥	䴖鶄
王小貝	琐瑣
王牛儿貝	瓒瓚
王爪大又	瑗瑷
王冖車	珲琿
扌士口頁	撷擷
扌貝貝女	撄攖
扌金欠	揿撳
扌鳥山	捣搗
扌母貝	掼摜
廿口丰見	觐覲
艹一艹刂	荆荊
廿日鳥	鹊鵲
廿乚貝力	勚勩
甘冂土見	觏覯
十艹貝	贲賁
十口鳥	鸪鴣
十口月鳥	鹕鶘
十又頁	𫠆頍
十冖子鳥	鹁鵓
艹戊貝	蒇蕆
艹止小頁	𬞟蘋
艹中一貝	蒉蕢
艹口隹鳥	鹳鸛
艹魚刂	蓟薊
艹魚羊	藓蘚
艹又丨頁	蓣蕷
艹絲工	荭葒
甫鳥	𬷕鵏
木西貝	槚檟
木卜貝	桢楨
木貝貝女	樱櫻
木人人	枞來
木言者	槠櫧
雨言人乚	霭靄
木絲彑豕	橼櫞
石丰貝	碛磧
大丷小鳥	鹩鷯
大申鳥	鹌鵪
而鳥	鸸鴯
龍耳	聋聾
龍廿八	龚龔
豕十艹貝	豮豶
臣丰貝	赜賾
車春一大	辏輳
車丁口	轲軻
車大	轪軑
車兀	𫐄軏
車厂卩	轭軛
車亠口小	辌輬
車一口田	辐輻
車又亻木	𫐓輮
車牛人	轶軼
車臼儿	𫐐輗
車人彡	轸軫
車斤	斩斬
車斤木	椠槧
車舟	辀輈
車氏	𬨂軝
車夂口	辂輅
車丷酉	𬨎輶
車又又又	辍輟
匚車九	匦匭
匚日女鳥	𬸘鶠
戈	戈戋
戈刂	划刬
匚乂鳥	鸥鴎
弋鳥	鸢鳶
卜口見	觇覘
卜圍羊工	鹾鹺
虎业見	觑覷
止小鬼十	颦顰
止匕魚	𫚖鮆
齒大丁口	𬺈齮
齒丿冂厶	龋齲
齒足	龊齪
齒且	龃齟
齒𠂉乙	龁齕
齒臼儿	𫠜齯
齒人川	𬹼齘
齒斤	龂齗
齒匕	龀齔
齒艮	龈齦
齒刀口	龆齠
口丂鳥	鸮鴞
口工貝	唝嗊
足夂口鳥	鹭鷺
口口頁口	嚣囂
口口丂鳥	鹗鶚
口小貝	唢嗩
口貝貝女	嘤嚶
口冂人	呐吶
口貝力	勋勛
口烏	呜嗚
日冂厶頁	颙顒
日勹乚鳥	鹖鶡
日亠小頁	颢顥
水冂攵魚	鳖鱉
目犬鳥	䴗鶪
四革馬	羁羈
山大車	𪨶輋
山見	岘峴
山金欠	嵚嶔
貝周土口	赒賙
貝貝十凵	罂罌
貝辰	赈賑
貝日目	赗賵
貝貝貝	赑贔
貝丿之	贬貶
貝人示	赊賒
貝𠂊八言	赡贍
貝厶口	贻貽
貝亠乡人	赅賅
貝貝女鳥	鹦鸚
骨鳥	鹘鶻
牛儿貝阝	酂酇
廴丿士頁	颋頲
⺮丰貝	箦簀
⺮木𠂊貝	籁籟
禾火鳥	鹙鶖
舌鳥	鸹鴰
⺮中一貝	篑簣
⺮口貝	筼篔
隹言隹	雠讎
鬼十鳥	鹎鵯
鬼一人人	魉魎
人一口頁	颌頜
人一口鳥	鸽鴿
人一刂見	觎覦
人之鳥	鸰鴒
行鳥	鸻鵆
八人口鳥	鹆鵒
食巳廿八	馔饌
食木口	𫗧餗
食廿口丰	馑饉
食亠日一	𫗴饘
食日四又	馒饅
食亠八乂	饺餃
食土厶皿	馌饁
八厶习鳥	鹟鶲
金一艹刂	铏鉶
金一止	钲鉦
金一卜乚	钙鈣
金一丷丁	镉鎘
金工㇕口	铻鋙
金丰丰彐	𬭬鏏
金丰刀大	锲鍥
斤頁	颀頎
斤虎鳥	䴘鷉
金一水丶	𨱇銶
金艹一口	𨱏鎝
金艹日大	镆鏌
金艹田	锚錨
金艹冂大	锳鍈
金西示	镖鏢
金甫寸	镈鎛
金西日十	镡鐔
釆田鳥	𬸪鷭
金大丁口	锜錡
金一屮	钝鈍
金口一丂	锷鍔
金由	铀鈾
金甲	钾鉀
金日四又	镘鏝
金日匕匕	锟錕
金田心	锶鍶
金四口𧘇	镮鐶
金貝刂	铡鍘
金四勹虫	镯鐲
金廴丿士	铤鋌
金千艹二	锤錘
金𠂉木	铢銖
