人	人入
一夕甲一	殫殚
一夕刂鳥	鴷䴕
工貝	貢贡
工人人見	覡觋
工人人鳥	鵐鹀
土口貝	塤埙
土川卜貝	赬赪
土烏	塢坞
士冖車殳	轂毂
耳中一貝	聵聩
丰貝力	勣𪟝
丰力攵貝	贅赘
丰力攵魚	鰲鳌
丰力攵馬	驁骜
丰月鳥	鶄䴖
王小貝	瑣琐
王牛儿貝	瓚瓒
王爪大又	瑗瑷
王冖車	琿珲
扌士口頁	擷撷
扌貝貝女	攖撄
扌金欠	撳揿
扌鳥山	搗捣
扌母貝	摜掼
廿口丰見	覲觐
艹一艹刂	荊荆
廿日鳥	鵲鹊
廿乚貝力	勩勚
甘冂土見	覯觏
十艹貝	賁贲
十口鳥	鴣鸪
十口月鳥	鶘鹕
十又頁	頍𫠆
十冖子鳥	鵓鹁
艹戊貝	蕆蒇
艹止小頁	蘋𬞟
艹中一貝	蕢蒉
艹口隹鳥	鸛鹳
艹魚刂	薊蓟
艹魚羊	蘚藓
艹又丨頁	蕷蓣
艹絲工	葒荭
甫鳥	鵏𬷕
木西貝	檟槚
木卜貝	楨桢
木貝貝女	櫻樱
木人人	來枞
木言者	櫧槠
雨言人乚	靄霭
木絲彑豕	櫞橼
石丰貝	磧碛
大丷小鳥	鷯鹩
大申鳥	鵪鹌
而鳥	鴯鸸
龍耳	聾聋
龍廿八	龔龚
豕十艹貝	豶豮
臣丰貝	賾赜
車春一大	輳辏
車丁口	軻轲
車大	軑轪
車兀	軏𫐄
車厂卩	軛轭
車亠口小	輬辌
車一口田	輻辐
車又亻木	輮𫐓
車牛人	軼轶
車臼儿	輗𫐐
車人彡	軫轸
車斤	斬斩
車斤木	槧椠
車舟	輈辀
車氏	軝𬨂
車夂口	輅辂
車丷酉	輶𬨎
車又又又	輟辍
匚車九	匭匦
匚日女鳥	鶠𬸘
戈	戈戋
戈刂	划刬
匚乂鳥	鴎鸥
弋鳥	鳶鸢
卜口見	覘觇
卜圍羊工	鹺鹾
虎业見	覷觑
止小鬼十	顰颦
止匕魚	鮆𫚖
齒大丁口	齮𬺈
齒丿冂厶	齲龋
齒足	齪龊
齒且	齟龃
齒𠂉乙	齕龁
齒臼儿	齯𫠜
齒人川	齘𬹼
齒斤	齗龂
齒匕	齔龀
齒艮	齦龈
齒刀口	齠龆
口丂鳥	鴞鸮
口工貝	嗊唝
足夂口鳥	鷺鹭
口口頁口	囂嚣
口口丂鳥	鶚鹗
口小貝	嗩唢
口貝貝女	嚶嘤
口冂人	吶呐
口貝力	勛勋
口烏	嗚呜
日冂厶頁	顒颙
日勹乚鳥	鶡鹖
日亠小頁	顥颢
水冂攵魚	鱉鳖
目犬鳥	鶪䴗
四革馬	羈羁
山大車	輋𪨶
山見	峴岘
山金欠	嶔嵚
貝周土口	賙赒
貝貝牛山	罌罂
貝辰	賑赈
貝日目	賵赗
貝貝貝	贔赑
貝丿之	貶贬
貝人示	賒赊
貝𠂊八言	贍赡
貝厶口	貽贻
貝亠乡人	賅赅
貝貝女鳥	鸚鹦
骨鳥	鶻鹘
牛儿貝阝	酇酂
廴丿士頁	頲颋
⺮丰貝	簀箦
⺮木𠂊貝	籟籁
禾火鳥	鶖鹙
舌鳥	鴰鸹
⺮中一貝	簣篑
⺮口貝	篔筼
隹言隹	讎雠
鬼十鳥	鵯鹎
鬼一人人	魎魉
人一口頁	頜颌
人一口鳥	鴿鸽
人一刂見	覦觎
人之鳥	鴒鸰
