的	白勺
罌	貝貝缶
儔	人士㇕工一口寸
羶	羊亠回日一
汨	水日
閼	門於
閽	門氏日
閡	門亥
譬	尸口辛言
縹	糸西示
摒	扌尸并
齬	齒五口
嘧	口宀必山
嵬	山鬼
瞑	目冂日宀
穡	禾土从
氪	气克
笳	竹力口
魃	鬼犬㇕
佸	人舌
艉	舟尸毛
穌	魚禾
浯	水五口
溱	水廾禾
阡	阝千
璩	王虎豕
醮	酉隹火
硤	石大从
蠊	虫广兼
圉	圍幸
嚓	口宀肉又示
纍	三田糸
賙	貝用口
豺	豸才
獐	犬立日十
旄	㫃毛
広	广厶
糝	米三厶人彡
泖	水卯
溏	水广尹口
裉	衤艮
戸	戶
琺	王水去
芟	艸殳
棖	木長
柜	木巨
蚨	虫夫
蟶	虫耳口王
俎	人人且
肫	月屯
糍	米䒑幺幺
槊	屰月木
涑	水束
涪	水立口
漉	水鹿
緄	糸日比
彗	丰丰彐
鞦	革禾火
莔	艸四冂
躉	萬足
櫪	木厂禾禾止
齔	齒匕
屾	山山
鶻	骨鳥
泱	水冂大
泫	水亠幺
鴆	冂儿鳥
帚	彐冂巾
埕	土口王
珪	王土土
瑗	王爪二丿又
茁	艸出
檄	木白方攴
竽	竹丁一
稗	禾卑
佺	人人王
鍆	金門
鯢	魚臼儿
戠	立日戈
咨	冫欠口
淀	水宀正
謇	宀甘八言
逖	辵犬火
羋	丨羊
靼	革日一
莋	艸人乍
唵	口大申
吩	口分
哞	口厶牛
羆	四厶月比火
嶧	山四幸
迤	辵𠂉也
秈	禾山
簞	竹口口甲一
佞	人二女
鉿	金亼口
艫	舟虎田皿
諉	言禾女
瘍	疒昜
憒	心中一貝
郯	火火阝
邋	辵巛囟釆
闐	門真
孃	女衣口口甘
縊	糸水皿
垌	土同
璀	王山隹
芘	艸比
蹩	巾⺍攴足
昉	日方
鱈	魚雨彐
鮒	魚人寸
涿	水豕
鼐	乃鼎
戛	頁戈
髪	長彡𠂇又
瑀	王禹
驄	馬囪心
璣	王幺幺戈人
芨	艸及
蠓	虫艸冃豕
蚪	虫斗
吒	口丿七
瞋	目真
毎	𠂉母
倥	人穴工
猓	犬果
頫	兆頁
褥	衤辰寸
嬖	尸口辛女
孀	女雨木目
縋	糸辵㠯
珣	王勹日
璘	王米舛
菠	艸水皮
卣	卜圍龴
嚶	口貝貝女
跚	足冊
嶷	山匕矢龴疋
牖	爿戶甫
徨	行白王
鉄	金失
豸	豸
溧	水西木
寀	宀爪木
阱	阝井
愍	民攴心
皴	厶八夂皮
撳	扌金欠
蘺	艸亠乂凵禸隹
櫸	木臼牙廾扌
磣	石三厶人彡
蠐	虫齊
咑	口扌丁
踔	足卜日十
黜	黑出
崍	山來
魎	鬼一内内
偸	人亼月巛
兗	亠公儿
淝	水月巴
鷸	矛内口鳥
続	糸士冂儿
梘	木見
虺	兀虫
磋	石羊工
蠛	虫艸四戈人
蠖	虫艸隹又
哃	口同
吽	口牛
徘	行非
粼	米舛巛
烊	火羊
紆	糸丁一
紈	糸丮
埗	土步
鄹	耳又从阝
瓁	王艸隹又
鸛	艸口口隹鳥
蓑	艸衣冄
酢	酉乍
醌	酉日比
樘	木尚土
楦	木宀二日
蜒	虫廴丿止
唲	口臼儿
咜	口它
彫	用口彡
偲	人田心
鐿	金立日心
胂	月申
忤	心午
潶	水黑
紜	糸云
艽	艸九
醭	酉业大
蜡	虫廿日
蚝	虫毛
嚨	口龍
毬	毛求
鍖	金甘匚八
鏍	金田糸
癜	疒尸艸廾殳
沭	水术
滓	水宀辛
娌	女里
繒	糸曾
跫	工凡足
鏊	敖金
葶	艸京丁
酞	酉太
榱	木衣冄
槨	木京子阝
郟	大从阝
踴	足甬力
兎	丿口儿丶
倳	人一中彐
煳	火古月
嬛	女四一口衤
嫚	女日四又
驃	馬西示
柰	木示
桁	木行
蜱	虫卑
餚	食乂𠂇月
鯀	魚丿糸
郞	良阝
恫	心同
憔	心隹火
剡	火火刀
姫	女臣
彀	士冂一弓殳
珅	王申
萿	艸水舌
雹	雨勹巳
橄	木敢
匚	匚
蟛	虫十豆彡
咴	口𠂇火
噈	口京𠂇
冏	内口
髕	骨宀一㐄貝
値	人直
俶	人上小又
皚	白山豆
錈	金龹卩
遒	辵八酉
畑	火田
衩	衤又丶
嬙	女土从
媄	女羊大
圮	土己
耔	耒子
揆	扌癶天
苤	艸不一
苴	艸且
苻	艸人寸
婪	木木女
櫫	豕者木
碉	石用口
咼	咼
倬	人卜日十
饉	食堇
彳	行
譎	言矛内口
奘	爿士大
痱	疒非
疙	疒乞
浞	水足
湔	水䒑月刀
潺	水尸三子
袷	衤亼口
爿	爿
鸝	麗鳥
驤	馬衣口口甘
覲	堇見
鄞	堇阝
蕗	艸足夂口
梶	木尸毛
邨	屯阝
鹺	鹵羊工
鼉	口口田一黽
鴰	舌鳥
伲	人尸匕
劬	勹口力
炤	火刀口
単	⺍甲一
閶	門昌
恿	甬心
坍	土丹
垸	土宀一兀
鬟	長彡四一口衤
耪	耒亠八冂方
芑	艸己
逋	辵甫
蚶	虫甘
曷	日勹亡
侈	人多
刖	月刀
獯	犬千四土火
觶	角口口甲一
鰍	魚禾火
旒	㫃了巛
忖	心寸
惆	心用口
閂	門一
邐	辵麗
鬮	鬥龜
驁	敖馬
掇	扌叕
鶘	古月鳥
鞫	革勹言
槲	木角斗
齟	齒且
噺	口立木斤
韙	是㐄口㐄
冄	冄
鸚	貝貝女鳥
鉦	金正
鋟	金彐冂又
錙	金巛田
猗	犬大丁口
堃	方方土
沔	水丁乚㇕
灕	水亠乂凵禸隹
窨	穴立日
厾	乙去
緦	糸田心
耄	耂毛
杴	木欠
蚵	虫丁口
蛄	虫古
蠣	虫厂萬
篦	竹囟比
俳	人非
錸	金來
鐐	金一火日小
獬	犬角刀牛
胝	月氏丶
礱	龍石
濉	水目隹
洺	水夕口
邃	辵穴八豕
屐	尸行十又
経	糸又土
殄	歹人彡
瞽	十豆十又目
鷙	幸丮鳥
験	馬亼口人
蠆	萬虫
芴	艸勿
楝	木柬
鶇	東鳥
耷	大耳
曛	日千四土火
稹	禾真
氤	气圍大
込	辵人
臆	月立日心
髙	京口
埸	土日勿
拊	扌人寸
荑	艸大弓
芤	艸子乚
榧	木匚非
砑	石牙
垡	人戈土
倮	人果
徇	行勹日
鑷	金三耳
鑌	金宀一㐄貝
腆	月冊廾
胗	月人彡
瘢	疒舟殳
遨	辵敖
弢	弓屮又
緙	糸革
駑	女又馬
擤	扌鼻
匏	大一丂勹巳
尷	尢監
蝴	虫古月
虼	虫乞
曈	日立田土
澩	臼爻冂水
餱	食人龴矢
粿	米果
渀	水奔
宄	宀九
隳	阝𠂇工月人心
堋	土朋
菹	艸水且
酐	酉干
櫳	木龍
哚	口几木
眭	目土土
鴦	冂大鳥
峰	山夂丰
侞	人女口
飩	食屯
餾	食卯田
銣	金女口
胛	月甲
腴	月臼人
獰	犬宀心皿丁
詁	言古
諑	言豕
訃	言卜
疳	疒甘
癤	疒竹艮卩
惴	心山而
怺	心永
窕	穴兆
陟	阝步
悪	亞心
鼙	十豆十又卑
聵	耳中一貝
鴣	古鳥
蕈	艸西日十
蘄	艸口口甲一斤
薺	艸齊
釅	酉口口厂敢
楂	木木日一
楫	木口耳
碭	石昜
戔	戔
呻	口申
叺	口人
咄	口出
崞	山京子
嶗	山火火冂力
骼	骨夂口
籙	竹金彑
魍	鬼网亡
僉	亼口口从
饅	食日四又
餛	食日比
鍐	金乂凵八夂
狎	犬甲
麾	麻毛
羝	羊氏丶
糲	米厂萬
憷	心木木疋
煋	火日生
燚	四火
窣	穴卒
窸	穴釆心
褡	衤艸亼口
闍	門者
閞	門厶廾
嬗	女亠回日一
絵	糸會
邛	工阝
玎	王丁
瑚	王古月
琿	王冂車
玘	王己
茈	艸止匕
藎	艸尹一火皿
椐	木尸古
螞	虫馬
蜘	虫矢口
嗉	口丰糸
唁	口言
躚	足辵西大巳
筮	竹工从
箜	竹穴工
瓮	公瓦
鈸	金犬㇕
錮	金圍古
鍤	金千臼
鯁	魚一日乂
鰱	魚辵車
粳	米一日乂
遄	辵山而
裰	衤叕
鞴	革𤰇
蘩	艸每攴糸
麩	來夂夫
碲	石帝
觜	止匕角
跏	足力口
唎	口禾刀
崚	山土八夂
仵	人午
歙	亼口羽欠
鏇	金㫃疋
諄	言京子
竜	立申
蠲	水皿四勹虫
粞	米西
湢	水畐
涳	水穴工
蟊	矛虫虫
媲	女囟比
緱	糸人龴矢
繅	糸巛果
盍	去皿
扦	扌千
萵	艸咼
菪	艸宀石
棱	木土八夂
輳	車廾天
蛞	虫舌
笤	竹刀口
傀	人鬼
飪	食壬
胭	月圍大
謄	朕言
殳	殳
旮	九日
悻	心幸
巛	巛
埝	土今心
圯	土巳
栲	木耂丂
朮	术
榊	木示申
砹	石艸乂
図	圍冫乂
跣	足先
邾	朱阝
氚	气巛
俷	人月巴
譕	言無
瓿	立口瓦
潢	水黃
漷	水京子阝
辶	辵
禳	示衣口口甘
鬻	弓米弓鬲
綆	糸一日乂
彘	彑匕矢匕
殛	歹了口又一
堊	亞土
琵	王王比
頊	王頁
拮	扌士口
枡	木升
砟	石乍
骱	骨介
笸	竹匚口
頷	今口頁
鋃	金良
狻	犬厶八夂
鴇	匕十鳥
鴟	氏丶鳥
邙	亡阝
悌	心八弓丨丿
淠	水田几
嫫	女艸日大
妣	女比
餮	歹人彡食
赳	走丩
埽	土彐冂巾
圾	土及
荖	艸耂
薅	艸女辰寸
樗	木雨一丂
柞	木乍
欹	大丁口欠
蠼	虫目目隹又
跆	足厶口
嗐	口宀丰口
黙	里犬火
嵯	山羊工
牝	牛匕
怹	人也心
鏑	金帝口
瘛	疒丰刀心
巻	龹己
懌	心四幸
瀞	水青𠂊尹
漵	水余攴
漈	水肉又示
滂	水亠八冂方
繻	糸雨而
糶	出米羽隹
嫘	女田糸
橛	木厂屰欠
骺	骨𠂆口
笊	竹爪
倀	人長
倜	人用口
皈	白反
鈳	金丁口
鯛	魚用口
怙	心古
滹	水虎爪丁
蔠	艸糸夂冫
撃	車殳手
槁	木京口
酃	雨口口口阝
奩	大匚三口
鴯	而鳥
郾	匚日女阝
畋	田攴
髀	骨卑
穰	禾衣口口甘
獗	犬厂屰欠
謅	言勹屮勹屮
癭	疒貝貝女
羰	羊山𠂇火
愴	心倉
窬	穴亼月刀
嬿	女燕
砉	丰石
抉	扌夬
莩	艸爪子
迣	辵世
柩	木匚𠂊丶
蚰	虫由
螳	虫尚土
蛑	虫厶牛
咆	口勹巳
篋	竹匚大从
価	人西
翕	亼口羽
郄	乂𠂇厶阝
朐	月勹口
夤	夕寅
窳	穴瓜瓜
劼	士口力
踅	扌斤足
蘧	艸辵虎豕
杼	木予
磽	石堯
鳪	卜鳥
蚋	虫内
跗	足人寸
侔	人厶牛
艚	舟一曲日
郇	勹日阝
裎	衤口王
冢	冂豕
陔	阝亥
埵	土垂
瑭	王广尹口
醺	酉千四土火
喟	口田月
咐	口人寸
蜚	非虫
旯	日九
嶙	山米舛
甥	生田力
篾	竹四戈人
皤	白釆田
敫	白方攴
鵜	八弓丨丿鳥
洄	水回
裟	水少衣
弭	弓耳
媾	女甘冄
緡	糸民日
莨	艸良
櫺	木雨口口口
霹	雨尸口辛
邳	不一阝
蟪	虫專心
歳	止戌小
蚣	虫公
跎	足它
呉	吳
嶝	山癶豆
嶁	山婁
郃	亼口阝
貘	豸艸日大
読	言士冂儿
紶	糸去
婞	女幸
靑	青
苾	艸必
霑	雨水卜口
蝽	虫廾日
犧	牛羊禾戈丂
恂	心勹日
夬	夬
翮	鬲羽
両	一巾凵
邴	丙阝
玠	王介
蕤	艸豕生
鷯	一火日小鳥
蚱	虫乍
趵	足勺
帰	刀彐冂巾
罟	四古
矍	目目隹又
峋	山勹日
嶋	山鳥
髏	骨婁
嚳	臼爻冂牛口
皁	白十
齎	齊貝
萆	艸卑
槔	木白大十
磴	石癶豆
蟣	虫幺幺戈人
畛	田人彡
岈	山牙
犍	牛廴尹二
釤	金彡
臃	月亠阝隹
譖	言旡旡日
廛	广里八土
愎	心𠂉日夂
茚	艸爪卩
軛	車厂卩
匴	匚竹目廾
曩	日衣口口甘
暾	日京子攴
罱	四十冂半
岵	山古
畬	余田
粢	冫欠米
庀	广匕
湎	水面
鐾	尸口辛金
総	糸公心
炱	厶口火
墻	土土从
摜	扌貫
苜	艸目
硨	石車
錁	金果
窆	穴丿之
聴	耳十四心
瑠	王卯田
搧	扌戶羽
藿	艸雨隹
薱	艸业土寸
葰	艸人厶八夂
茭	艸文八
菑	艸巛田
霎	雨立女
蛺	虫大从
蜿	虫宀夕卩
昃	日厂人
簸	竹其皮
佹	人𠂊厂卩
儕	人齊
剣	亼口人刀
艋	舟子皿
齏	齊韭
鶿	䒑幺幺鳥
炆	火文
惋	心宀夕卩
湓	水分皿
褆	衤是
蓁	艸廾禾
萣	艸宀正
柊	木夂冫
泅	水圍人
紱	糸犬㇕
擯	扌宀一㐄貝
搡	扌三又木
帯	帶
酹	酉爪寸
雩	雨一丂
靂	雨厂禾禾止
兕	圍凵儿
帙	巾失
簌	竹束欠
穂	禾專心
僂	人婁
鄱	釆田阝
獍	犬立日儿
廩	广亠回禾
瀠	水火火冂糸
韝	㐄口㐄甘冄
顙	三又木頁
綈	糸八弓丨丿
堝	土咼
辻	辵十
蔵	艸戊臣
晷	日夂卜口
筇	竹工阝
賃	人壬貝
鐙	金癶豆
脒	月米
炻	火石
泔	水甘
専	專
墀	土尸水牛
挈	丰刀手
玹	王亠幺
騅	馬隹
嘏	古叚
蓽	艸畢
転	車云
弍	弋二
蟯	虫堯
圏	圍龹己
豊	曲豆
衄	血丑
儻	人尚黑
狆	犬中
痤	疒从土
塋	火火冂土
煢	火火冂乙十
惇	心京子
溲	水申又
鷚	羽人彡鳥
丌	几
掾	扌彑豕
萩	艸禾火
崤	山乂𠂇月
仃	人丁
倗	人朋
鈁	金方
艏	舟首
狷	犬口月
肷	月欠
鯖	魚青
麋	鹿米
逶	辵禾女
辺	辵刀
縲	糸田糸
絎	糸行
銎	工凡金
鞔	革象儿
櫨	木虎田皿
瓠	大一丂瓜
蚯	虫丘
圇	圍亼冊
圊	圍青
蹕	足畢
罨	四大申
簹	竹尚田
簋	竹艮皿
氘	气八
邉	辵自穴口
徦	行叚
艄	舟小月
煺	火辵艮
泚	水止匕
湝	水比白
褳	衤辵車
璠	王釆田
夼	大巛
蠕	虫雨而
蹼	足业大
暌	日癶天
眇	目少
儐	人宀一㐄貝
鈽	金布
釙	金卜
詆	言氏丶
馘	首戈口一
襦	衤雨而
遢	辵日羽
逡	辵厶八夂
婼	女艸𠂇口
縟	糸辰寸
鬲	鬲
殫	歹口口甲一
螫	赤攴虫
騕	馬西女
藶	艸厂禾禾止
酩	酉夕口
砘	石屯
戢	口耳戈
噦	口止戌㐄
躂	足辵土羊
跩	足申丿
旰	日干
篳	竹畢
鍑	金𠂉日夂
鎪	金申又
脳	月⺍乂凵
鴝	勹口鳥
応	广心
愬	屰月心
滎	火火冂水
濞	水鼻
窶	穴婁
穸	穴夕
弾	弓⺍甲一
薍	艸爪龴冂厶又乚
蔟	艸㫃矢
蕖	艸水巨木
硭	石艸亡
吲	口弓丨
氙	气山
璺	臼同冂玉
鷦	隹火鳥
徂	行且
錆	金青
刎	勿刀
燔	火釆田
洸	水光
瀵	水米田艸廾
宬	宀成
綪	糸青
玦	王夬
蔞	艸婁
繋	車殳糸
榿	木山豆
硇	石囟
跬	足土土
牸	牛宀子
簑	竹衣冄
仮	人反
傛	人穴公
辵	辵
舾	舟西
颺	風昜
膾	月會
憮	心無
泐	水阝力
褸	衤婁
衽	衤壬
闘	門豆寸
擘	尸口辛手
綞	糸垂
縑	糸兼
鵡	戈止鳥
玢	王分
喥	口广廿又
笹	竹世
篔	竹口貝
餞	食戔
錟	金火火
舯	舟中
隈	阝田衤
戞	頁戈
薤	艸歹韭
剽	西示刀
僰	朿朿人
枇	木比
砝	石去
劌	止戌㐄刀
蟈	虫圍戈口一
囹	圍令
罾	四曾
笓	竹比
佧	人上卜
俜	人由丂
仡	人乞
儋	人𠂊厂八言
舳	舟由
胙	月乍
愜	心匚大从
沬	水未
潒	水象
瀼	水衣口口甘
鄆	冂車阝
叚	叚
隠	阝爪彐心
垓	土亥
枸	木勹口
蝟	虫田月
秫	禾术
笶	竹矢
餑	食十冂子
愆	行水心
猊	犬臼儿
詛	言且
瘩	疒艸亼口
疥	疒介
迢	辵刀口
隰	阝日幺幺火
畚	厶大田
甏	十豆彡瓦
堠	土人龴矢
醅	酉立口
椛	木艸化
輅	車夂口
梃	木廴千土
霊	雨二业
曌	日月穴工
舎	人土口
涘	水厶矢
哿	力口丁口
珙	王艸廾
葚	艸甘匚八
蒝	艸厂白小
萑	艸隹
櫝	木士四貝
蚺	虫冄
螄	虫㠯一巾
蚍	虫比
嶇	山匚三口
幗	巾圍戈口一
筌	竹人王
鵂	人木鳥
鴒	令鳥
謳	言匚三口
痌	疒同
愾	心气米
捯	扌至刀
摭	扌广廿火
葜	艸丰刀大
榦	十日十人木
藁	艸京口木
醢	酉𠂇口皿
喞	口白匕卩
屼	山兀
烀	火爪丁
繴	尸口辛糸
紇	糸乞
絯	糸亥
坼	土斥
柟	木冄
巰	巠了巛
鬯	鬯
鐠	金並日
鯃	魚五口
糅	米矛木
嫗	女匚三口
鬨	鬥艸廾
嶅	敖山
騮	馬卯田
莠	艸禾乃
茳	艸水工
暁	日屮兀
偅	人千田土
錡	金大丁口
鏹	金弓口虫
亀	龜
鶼	兼鳥
烜	火二日
湁	水扌亼口
袼	衤夂口
甓	尸口辛瓦
乸	也母
紾	糸人彡
螂	虫良阝
暹	辵日隹
帔	巾皮
佾	人八月
肜	月彡
胳	月夂口
瘠	疒⺍人月
翥	者羽
聃	耳冄
髟	長彡
栢	木百
酡	酉它
櫧	木言者
杷	木巴
篠	竹人丨夂木
箛	竹子瓜
鋏	金大从
鐓	金京子攴
凪	凡止
颶	風目廾
糀	米艸化
淰	水今心
滃	水公羽
済	水齊
湴	水並
鷥	糸糸鳥
琯	王宀㠯
卌	一二二
艨	舟艸冃豕
誃	言多
慄	心西木
鵓	十冂子鳥
薷	艸雨而
萢	艸水勹巳
楛	木艸古
櫬	木立木見
柁	木它
黠	黑士口
迕	辵午
観	𠂉一隹見
稲	禾爪丨日
俓	人巠
鵯	卑鳥
偓	人尸至
鄯	善阝
悕	心乂𠂇巾
悩	心⺍乂凵
澪	水雨令
滏	水父王八
寛	宀艸見
襝	衤亼口口从
険	阝亼口人
醵	酉虎豕
碣	石日勹亡
晡	日甫
矬	矢从土
篼	竹白卯儿
徉	行羊
舴	舟乍
鷄	爪幺大鳥
胩	月上卜
狒	犬弓八
訳	言尺
麂	鹿几
忉	心刀
蓜	艸酉己
囔	口一中冂口口甘衤
躒	足白幺幺木
唦	口水少
噉	口敢
畎	田犬
乗	千艸木
毽	毛廴尹二
脿	月表
忔	心乞
熸	火旡旡日
湉	水心舌
緶	糸人一日乂
孌	䜌女
纛	丰母目木丿糸
荘	艸爿士
豳	豕豕山
幄	巾尸至
徼	行白方攴
猖	犬昌
鰩	魚爪缶
癍	疒王文王
悱	心非
湞	水卜貝
孱	尸三子
謦	士尸殳言
柙	木甲
雫	雨下
嚧	口虎田皿
瞠	目尚土
覬	山豆見
侏	人朱
戧	倉戈
効	文八力
焜	火日比
屮	屮
坩	土甘
琤	王𠂊尹
菝	艸扌犬㇕
茯	艸人犬
蒍	艸爲
蓿	艸宀人百
戡	甘匚八戈
蜻	虫青
圄	圍五口
筘	竹扌口
簦	竹癶豆
僨	人屮貝
鍰	金爪二丿又
猾	犬骨
冲	冫中
戕	爿戈
痊	疒人王
渫	水世木
洶	水勹乂凵
迹	辵亦
疋	疋
隍	阝白王
鬣	長彡巛囟釆
耩	耒甘冄
駅	馬尺
抜	扌𠂇又
揺	扌爪干凵
蓶	艸口隹
茽	艸人中
蕹	艸亠阝隹
蓙	艸广从土
薬	艸白⺍木
槸	木土八土丮
醍	酉是
轆	車鹿
麮	來夂去
桷	木角
歴	厂木木止
尥	尢勺
噱	口虎豕
唿	口勿心
禸	禸
黝	黑幺力
缽	缶本
傕	人冂隹
従	行䒑止
敓	公儿攴
鋝	金爪寸
蠃	贏虫
庢	广至
瘞	疒大从土
痋	疒虫
燿	火羽隹
漃	水宀上小又
縌	糸辵屰
郷	阝艮阝
抔	扌不
椹	木甘匚八
柢	木氏丶
呴	口勹口
蹉	足羊工
銭	金戔
鰥	魚四水
愔	心立日
溻	水日羽
漯	水田糸
窀	穴屯
堔	土冂八木
騸	馬戶羽
軹	車口八
貲	止匕貝
翾	四一口衤羽
鐃	金堯
廋	广申又
鷓	广廿火鳥
痾	疒阝丁口
糢	米艸日大
惔	心火火
襘	衤會
陘	阝巠
紟	糸今
璵	王臼牙廾
萋	艸一尹女
豨	豕乂𠂇巾
崦	山大申
坌	分土
鯧	魚昌
恛	心回
洣	水米
邂	辵角刀牛
繢	糸中一貝
廾	廾
蓍	艸耂日
榀	木三口
檁	木亠回禾
榍	木尸小月
磔	石舛木
嗏	口艸人木
峇	山亼口
岌	山及
笢	竹民
皛	三白
舨	舟反
亶	亠回日一
癯	疒目目隹
焼	火屮兀
滈	水京口
滝	水立申
褟	衤日羽
嫿	女尹二田一
菥	艸木斤
菖	艸昌
栳	木耂
杌	木兀
椥	木矢口
桴	木爪子
螓	虫廾禾
跽	足己心
筅	竹先
逭	辵宀㠯
廻	廴回
弖	弓一
紿	糸厶口
嚭	十豆口不口
赧	赤卩又
鋆	土勹冫金
贄	幸丮貝
鬘	長彡日四又
騶	馬勹屮勹屮
葺	艸口耳
莛	艸廴千土
酔	酉九十
検	木亼口人
呺	口口丂
敤	果攴
幛	巾立日十
剴	山豆刀
籜	竹扌四幸
働	人千田土力
舥	舟巴
腙	月宀示
斎	齊示
汩	水圍一
禤	示四羽
劦	三力
妺	女末
媔	女面
胬	女又肉
儿	儿
玷	王卜口
琲	王非
萠	艸朋
蔇	艸艮旡
栖	木西
柝	木斥
砵	石本
嚅	口雨而
箝	竹扌甘
凭	人壬几
佝	人勹口
徥	行是
疔	疒丁
堍	土象儿丶
埌	土良
髑	骨四勹虫
穏	禾爪彐心
僤	人口口甲一
仫	人丿厶
傯	人囪心
颮	風勹巳
韵	立日勹冫
翫	羽白一兀
彅	弓䒑月刀刀
嬬	女雨而
馹	馬日
檎	木亼一乂凵禸
踊	足甬
魡	魚勺
懨	心厂日月犬
澔	水白牛口
渢	水風
幇	土土寸巾
髭	長彡止匕
珎	王尔
虆	艸三田糸
槇	木真
囲	圍井
暀	日行主
儚	人艸四冂夕
傖	人倉
偝	人北月
糴	人米羽隹
鐔	金西日十
肭	月内
狍	犬勹巳
匐	勹畐
謌	言丁口丁口
懐	心亠四衣
漖	水耂子攴
獣	⺍田一口犬
鼡	⺍几扌
濆	水屮貝
戻	戶大
陲	阝垂
牁	爿丁口
繲	糸角刀牛
坻	土氏丶
掟	扌宀正
嚏	口十冂田疋
佻	人兆
敉	米攴
汸	水方
陬	阝耳又
驂	馬三厶人彡
悊	扌斤心
薫	艸千田土火
蕝	艸糸𠂊巴
厎	厂氏丶
覘	卜口見
呰	止匕口
嗞	口䒑幺幺
鸀	四勹虫鳥
甡	生生
盥	臼水皿
躱	身乃木
仳	人比
欷	乂𠂇巾欠
鍜	金叚
魼	魚去
斉	齊
慬	心堇
営	⺍冂呂
栄	⺍冂木
汔	水乞
乀	丶
荽	艸爪女
桎	木至
蜞	虫其
蛸	虫小月
盱	目丁一
溷	水圍豕
袈	力口衣
覡	工从見
攖	扌貝貝女
蝲	虫束刀
蝂	虫爿反
囷	圍禾
趼	足一廾
嘽	口口口甲一
簭	竹工从公
鐖	金幺幺戈人
脕	月象儿
夐	𠂊内目夂
弚	八丨弓
澥	水角刀牛
扃	戶冂口
拏	女又手
耜	耒㠯
茛	艸艮
叶	口十
喰	口食
眚	生目
徭	行爪缶
胴	月同
觚	角瓜
繯	糸四一口衤
壢	土厂禾禾止
蒎	艸水𠂆从
靉	雨云爪冂心夂
樋	木辵甬
鵪	大申鳥
蝰	虫大土土
氅	尚攴毛
晩	日象儿
黥	黑京
嵫	山䒑幺幺
贔	三貝
倶	人目廾
鰣	魚日土寸
訐	言干
旂	㫃斤
斿	㫃子
邶	北阝
犖	火火冂牛
溦	水山一几攴
窞	穴𠂊臼
紒	糸介
堞	土世木
聒	耳舌
蹂	足矛木
笂	竹丮
箹	竹糸勺
僬	人隹火
猙	犬爪尹
鰈	魚世木
袱	衤人犬
遴	辵米舛
纊	糸广黃
紼	糸弓八
壚	土虎田皿
愨	士冂一殳心
駙	馬人寸
蘀	艸扌四幸
蓐	艸辰寸
蔀	艸立口阝
軽	車又土
嘂	四口丩
巋	山㠯止彐冂巾
嵂	山行尹二
徴	行山王攴
郤	谷阝
鏝	金日四又
瘕	疒叚
滒	水丁口丁口
叕	叕
璫	王尚田
莃	艸乂𠂇巾
樻	木中一貝
嗾	口㫃矢
舄	臼烏
疸	疒日一
悝	心里
殂	歹且
迋	辵王
墼	車凵殳土
楀	木禹
奭	大百百
臸	至至
蜩	虫用口
鴞	口丂鳥
黼	业巾⺍甫
嵖	山木日一
睺	目人龴矢
侀	人一廾刀
鋱	金弋心
鉯	金厶人
塱	良月土
頖	半頁
憍	心丿大口冂口
悾	心穴工
忸	心丑
滆	水鬲
浭	水一日乂
潵	水廿月攴
洊	水才子
浥	水口巴
迡	辵尸匕
妁	女勺
毐	士母
捩	扌戶犬
奓	大多
哫	口足
鯓	魚身
渼	水羊大
紘	糸𠂇厶
豌	豆宀夕卩
駘	馬厶口
頼	束頁
蹚	足尚土
躊	足士㇕工一口寸
嚜	口黑土
毘	田比
嶆	山一曲日
簬	竹足夂口
犵	犬乞
鮱	魚耂
讞	言虎鬲犬
剤	齊刀
竑	立𠂇厶
瀡	水阝辵𠂇工月
顁	宀正頁
衯	衤分
襞	尸口辛衣
姉	女巿
彖	彑豕
姙	女人壬
帑	女又巾
髹	長彡人木
揶	扌耳阝
呬	口四
瞌	目去皿
鼯	臼釆五口
猱	犬矛木
縻	麻糸
怦	心干八
忡	心中
渋	水止⺍
洫	水血
濘	水宀心皿丁
榖	士冂一木殳
甍	艸四冂瓦
蒗	艸水良
櫞	木糸彑豕
蝮	虫𠂉日夂
嗼	口艸日大
呪	口口儿
嶒	山曾
顗	山豆頁
歓	𠂉一隹欠
龠	龠
痍	疒大弓
懣	水廿内内心
渟	水京丁
褦	衤厶月比
娸	女其
嬢	女衣八甘
邗	干阝
堙	土西土
抨	扌干八
蝌	虫禾斗
哘	口行
矓	目龍
臾	臼人
螣	朕虫
夌	土八夂
瑢	王穴公
鞞	革卑
蕓	艸雨云
剞	大丁口刀
綔	大一丂丿糸
囮	圍化
眄	目丁乚㇕
嶈	山爿肉寸
黐	禾人水亠乂凵禸
懞	心艸冃豕
湡	水禺
淆	水乂𠂇月
沆	水亢
袙	衤白
姤	女𠂆口
鬈	長彡龹卩
酗	酉乂凵
篝	竹甘冄
穠	禾曲辰
伉	人亢
徜	行尚
貊	豸百
悃	心圍木
継	糸米乚
扞	扌干
蕻	艸長艸廾
蒶	艸糸分
唖	口亞
賅	貝亥
睽	目癶天
箅	竹田几
傜	人爪缶
鏚	金戌卜小
臌	月十豆十又
犴	犬干
匍	勹甫
瘌	疒束刀
曽	曾
濋	水木木疋
潕	水無
戣	癶天戈
姮	女二日
塄	土四方
桄	木光
吁	口丁一
佴	人耳
仉	人几
湲	水爪二丿又
祓	示犬㇕
紲	糸世
垜	土乃木
齧	丰刀齒
栫	木才子
枘	木内
権	木𠂉一隹
檞	木角刀牛
刳	大一丂刀
犒	牛京口
剰	千艸木刀
