的	白勹丶
柴	止匕木
逆	之䒑凵
僞	亻爲
騷	馬又丶虫
熙	臣巳灬
忽	勹彡心
津	氵尹二
胎	月厶口
糧	米日田土
譜	言䒑业日
准	冫隹
摩	广木木手
縮	絲宀一白
漫	氵日四又
溜	氵氏刀田
棄	亠厶廿木
扇	户习习
憂	一白心夂
墓	艹日大土
鹿	鹿
彬	木木彡
卿	氏丿艮卩
鶴	冖隹鳥
函	㇕水凵
確	石冖隹
郡	尹口阝
奈	大示
茂	艹戊
緩	絲爪大又
協	十力力力
債	亻丰貝
肌	月几
薰	艹千二灬
映	日冂大
鼻	自田一川
育	亠厶月
候	亻丨㇕矢
堅	臣又土
閉	門寸丿
決	氵㇕大
適	之亠十口
策	⺮木冂
藤	艹月半水
雁	厂亻隹
俠	亻大人人
腸	月日勹彡
窄	穴𠂉卜
昨	日𠂉卜
務	又㇕夂力
爪	爪
拷	扌者丂
汝	氵女
撮	扌日耳又
幸	土半
醬	爿夕寸酉
舟	舟
訴	言斤丶
態	厶月匕心
繡	絲尹片爿
蜜	宀心丿虫
漂	氵西示
序	广又㇕丨
巷	廿八巳
梨	禾刂木
舌	舌
腹	月𠂉日夂
蟹	𠂊用牛虫
陷	阝𠂊臼
捉	扌足
蒼	艹人户口
疑	匕矢㇕止
鼎	目爿片
釣	金勹丶
慌	忄艹亡川
彼	行皮
辰	辰
執	土半丸
忌	己心
踏	足水日
捷	扌一彐止
腫	月千日二
縱	絲行人止
伏	亻犬
壇	土亠日一
默	四土灬犬
懸	且小絲心
悟	忄工㇕口
頻	止小頁
帽	巾日目
幼	幺力
旋	方𠂉㇕止
擁	扌亠乡隹
猶	犭丷酉
席	广廿巾
叉	又丶
繫	車凵殳絲
妃	女己
典	冂廿八
贈	貝丷田日
儒	亻雨而
裸	衤田木
奉	春工
御	行牛止卩
腔	月穴工
突	穴大
刑	一艹刂
痕	疒艮
賓	宀一小貝
午	𠂉十
蕾	艹雨田
臟	月艹戈臣
宰	宀辛
弘	弓厶
境	土立日儿
拒	扌匚㇕
毅	立豕殳
煎	䒑月刂灬
弦	弓亠幺
蓉	艹穴人口
憶	忄立日心
卵	氏丷卩丶
遷	之西大己
尺	尸丶
禍	示咼
垂	千艹二
郵	千艹二阝
惜	忄廿日
浦	氵甫
警	艹勹攵言
揭	扌日人乚
逐	之豕
謂	言田月
昭	日刀口
宿	宀亻一白
統	絲亠厶儿
裂	一夕刂衣
僧	亻丷田日
慣	忄母貝
彪	虎彡
淋	氵木木
束	木口
仕	亻士
劫	土厶力
拓	扌石
疊	田田冖且
律	行尹二
株	木𠂉木
砂	石小丿
斗	冫十
坪	土一丷十
揮	扌冖車
箇	⺮圍十口
吞	一大口
亡	亡
遙	之夕十凵
牧	牛攵
兜	白氏㇕儿
監	臣⺮皿
稀	禾乂大巾
恰	忄人一口
朕	月䒑大
淑	氵上小又
慕	艹日大忄
疏	㇕止厶川
膏	亠口口月
陵	阝土八夂
纏	絲广八土
驗	馬人人人
廷	廴丿士
糊	米十口月
儲	亻言者
楠	木十冂半
蚊	虫文
祭	夗示
拾	扌人一口
朋	月月
芸	艹二厶
吟	口人丶㇕
筒	⺮冂一口
丘	丘
責	丰貝
堯	土土土兀
繁	𠂉母攵絲
坦	土日一
穗	禾車心
紗	絲小丿
屯	七凵
虐	虎匚
紹	絲刀口
惟	忄隹
幕	艹日大巾
遮	之广廿灬
庚	广彐人
哉	十戈口
涉	氵止小
賦	貝一弋止
敷	甫方攵
禪	示口甲一
習	习习白
臥	臣人
釘	金丁
丙	一冂人
歷	厂禾禾止
躍	足习习隹
署	四者
範	⺮車卩
示	示
