罷	四匕
翔	羊习
隱	阝心
述	之丶
餅	食艹
炮	火巳
芬	艹刀
鴻	氵鳥
腎	臣月
撲	扌羊
構	木土
捐	扌月
彎	言弓
描	艹田
棉	木巾
擊	車手
傾	亻頁
鼓	士又
霞	雨又
瞧	目灬
沉	氵几
箭	⺮刂
騰	月馬
潔	氵絲
盟	日皿
嶺	山頁
盆	八皿
護	言又
碧	王石
翼	习八
涵	氵凵
鈣	金乚
效	亠攵
桶	木用
哀	亠𧘇
譯	言半
殿	尸殳
驢	馬皿
悟	忄口
勢	土力
航	舟几
妮	女匕
茶	艹人
兇	乂儿
旅	方氏
鷹	广鳥
韻	立貝
移	禾夕
搖	扌山
予	又丨
融	一虫
勞	火力
鈕	金十
漫	氵又
奪	大寸
錫	金彡
澎	氵士
職	耳戈
宅	宀七
掌	小手
刑	艹刂
損	扌貝
盼	目刀
握	扌至
廟	广月
邵	刀阝
桂	土土
宣	宀日
姍	女艹
醋	酉日
膽	月言
穆	禾彡
湖	口月
漸	氵斤
伍	亻㇕
壽	士寸
逢	之丰
桃	木儿
壁	尸土
爐	火皿
泳	氵水
暫	車日
辭	爪辛
縫	絲丰
菊	艹米
凝	冫止
膩	月貝
脈	月氏
烈	一灬
矮	矢女
貪	人貝
婆	氵女
誇	言了
毀	臼殳
避	之辛
綁	絲阝
悅	忄儿
材	木丿
賞	小貝
翁	八习
耀	小隹
獻	虎犬
殷	斤殳
茲	艹幺
穎	匕頁
菁	艹月
牽	亠牛
屈	尸山
婿	女月
癢	疒艮
凍	冫日
柴	止木
逆	之凵
騷	馬虫
汗	氵一
熙	臣灬
津	氵二
胎	月口
糧	米二
詢	言日
褲	衤車
紮	木絲
摩	广手
縮	絲白
彥	文彡
棄	亠木
扇	户习
婷	女丁
菸	艹冫
淘	氵山
蓋	艹土
姑	女口
遞	之虎
卿	氏卩
鶴	冖鳥
函	㇕凵
確	石隹
緩	絲又
協	十力
瓊	王夂
映	日大
粵	鬼了
育	亠月
堅	臣土
邀	之攵
閉	門丿
佩	亻巾
策	⺮冂
藤	艹水
磊	石石
雁	厂隹
窄	穴卜
昨	日卜
倪	亻儿
癌	疒山
拷	扌了
猴	犭矢
醬	爿酉
訴	言丶
態	厶心
繡	絲爿
蜜	宀虫
漂	氵示
序	广丨
巷	廿巳
梨	禾木
幕	艹巾
腹	月夂
觸	𠂊虫
陷	阝臼
鼎	目片
釣	金丶
慌	忄川
瘤	疒田
執	土丸
踏	足日
罐	牛隹
腫	月二
縱	絲止
默	四犬
煌	火王
幀	巾貝
頻	止頁
灑	氵鹿
燉	火攵
旋	方止
擁	扌隹
聶	耳耳
猶	犭酉
壹	士䒑
霸	雨月
席	广巾
繫	車絲
擔	扌言
贈	貝日
儒	亻而
裸	衤木
御	行卩
腔	月工
頸	一頁
臟	月臣
裂	一𧘇
境	土儿
扭	扌㇕
毅	立殳
煎	䒑灬
弦	弓幺
罩	四十
憶	忄心
卵	氏丶
遷	之巳
逾	之刂
垂	千二
潛	氵日
郵	千阝
惜	忄日
警	艹言
揭	扌乚
昭	日口
宿	宀白
統	絲儿
裕	衤口
扮	扌刀
疊	田且
株	木小
砂	石丿
埃	土矢
填	土十
揮	扌車
哈	一口
遙	之山
壺	士亞
霖	雨木
兜	白儿
稀	禾巾
牴	牛丶
棍	木匕
饒	食尤
慕	艹忄
歇	日欠
疏	㇕川
陵	阝夂
壩	土月
纏	絲土
鹹	卜口
聰	耳心
碳	石火
廷	廴士
糊	米月
翹	土习
儲	亻者
楠	木半
顛	十頁
媚	女目
吟	口㇕
堯	土尤
繁	𠂉絲
紗	絲丿
蹲	足寸
澆	氵尤
遮	之灬
腐	广人
賦	貝止
臂	尸月
樁	木臼
禪	礻十
貨	亻匕
瑤	王山
阮	阝儿
躍	足隹
範	⺮巳
邢	一阝
擰	扌丁
莎	艹丿
糞	米八
潰	氵貝
閱	門儿
杭	木几
崇	山示
擴	扌八
嘆	口夫
艦	舟皿
挪	扌阝
荒	艹川
筋	⺮力
孕	㇆子
哲	扌斤
鈴	金之
戳	习戈
墓	大土
享	亠子
棚	木月
蹦	足月
焊	火十
腸	月日
趨	走凵
艘	舟又
靖	立月
咒	口几
姿	冫女
炫	火幺
賜	貝彡
湧	氵力
潑	氵殳
缸	牛工
漿	爿水
閻	門臼
攪	扌見
泛	氵之
鮑	魚巳
閥	門戈
卦	土卜
倩	亻月
貧	八貝
糟	米日
激	氵攵
階	阝白
珊	王一
植	木且
嘯	口爿
徑	行工
姨	女弓
幢	巾二
鈉	金人
詠	言水
痰	疒火
鄰	米阝
擺	扌四
艙	舟口
謙	言八
織	絲戈
葡	艹甫
轟	車車
燃	火灬
謎	言米
磷	石㐄
竄	穴巛
胞	月巳
墜	阝土
衡	行大
皺	勹皮
擇	扌半
鹼	卜人
窯	穴灬
眠	目七
途	之禾
叢	业又
磁	石幺
錶	金𧘇
屢	尸女
跪	足巳
輯	車耳
瓷	冫瓦
涉	氵止
踹	足而
瑜	王刂
磅	石方
豈	山䒑
瀉	氵灬
遼	之小
豎	臣䒑
宴	宀女
堪	土乚
祿	礻水
濯	习隹
崩	山月
厲	厂厶
憲	宀心
遺	之貝
聘	耳了
郁	大阝
逝	之斤
際	阝示
崖	山土
婉	女夗
攀	木手
獅	犭巾
喘	口而
氮	气火
鞍	革女
竇	穴貝
墳	土貝
巫	工人
虞	虎大
瑟	王丿
撈	扌火
築	⺮木
癮	疒心
削	小刂
籃	⺮皿
睿	卜目
葬	艹艹
咦	口弓
瞪	目䒑
詹	𠂊言
卸	牛卩
頒	八頁
慈	䒑心
闊	門舌
纖	絲一
桐	木冂
瞄	目田
兌	八儿
危	𠂊巳
撫	扌灬
妓	女又
拎	扌之
察	宀示
駱	馬夂
繪	絲日
鈞	金冫
憐	忄㐄
昆	日匕
禹	丿厶
娥	女戈
醇	酉子
橙	木䒑
辨	辛辛
祕	礻丿
薪	艹斤
煥	火大
淵	氵爿
愚	日心
蜀	四虫
劈	尸刀
堤	土止
夸	大了
傍	亻方
豹	豸丶
澄	氵䒑
冥	冖八
媒	女木
燦	火米
垮	土了
塑	䒑土
荷	艹亻
慾	八心
鑄	金寸
豫	又豕
亨	亠了
皓	白口
氟	气川
冤	冖丶
梳	木川
餡	食臼
彤	周彡
奕	亠大
蜂	虫丰
迅	之十
曦	日戈
仰	亻卩
煞	𠂊灬
羞	羊十
瞳	目二
偽	亻灬
挨	扌矢
渴	氵乚
綱	絲山
慎	忄八
恭	廿忄
氯	气水
蠟	虫巛
孰	亠丸
稻	禾臼
枝	木十
喪	十展
氨	气女
愣	忄方
瀾	氵四
慣	忄母
磕	石皿
顫	亠頁
翅	十习
鍥	金大
復	行夂
陀	阝匕
簾	⺮八
謹	言丰
噓	口业
睞	目人
敘	人攵
鑑	金皿
彌	弓乂
寂	宀又
獵	犭巛
蓬	艹丰
硫	石川
舜	爪㐄
炳	火人
炭	山火
綿	絲巾
岡	冂山
掀	扌欠
誘	言丿
睜	目彐
撓	扌尤
蹬	足䒑
遜	之絲
甄	西瓦
抑	扌卩
敖	丰攵
毫	亠毛
覽	臣見
逮	之氵
厭	厂犬
峽	山人
菱	艹夂
梯	木亻
腕	月夗
腺	月水
嗦	口絲
眨	目之
循	行目
矛	又亻
努	女力
黔	四㇕
廈	广夂
絨	絲大
擾	扌夂
襯	衤見
雌	止隹
草	日十
蛙	虫土
嬰	貝女
譽	臼言
跡	足八
廂	广目
瑛	王大
禽	人厶
矯	矢口
竅	穴攵
緯	絲㐄
繆	絲彡
玖	王丶
肆	長二
鑠	金木
凋	冫口
岑	山㇕
糕	米灬
釀	酉𧘇
咸	戊口
蹤	足止
廊	广阝
焰	火臼
壘	田土
覃	西十
嵌	山欠
販	貝又
袍	衤巳
僵	亻田
饞	食丶
沛	氵巾
眺	目儿
晏	日女
秤	禾十
蘿	艹隹
諒	言小
螺	虫絲
錠	金止
診	言彡
恤	忄皿
滋	氵幺
貿	氏貝
朔	䒑月
撼	扌心
矩	矢㇕
溺	氵冫
膚	虎月
契	丰大
禧	礻口
鞏	工革
峻	山夂
爵	爪寸
刨	勹刂
麵	木丨
盞	戈皿
燥	火口
痘	疒䒑
髓	骨月
嫵	女灬
篩	⺮巾
倦	亻巳
疆	弓田
茅	艹又
霆	雨士
靴	革匕
慮	虎心
眸	目牛
惱	忄乂
殊	一小
艇	舟士
裘	寸𧘇
儘	亻皿
寡	宀刀
巖	山攵
瞬	目㐄
渾	氵車
棠	小木
窺	穴見
奮	大田
剎	乂刂
濁	氵虫
泌	氵心
簫	⺮爿
偕	亻白
寅	宀八
姦	女女
梵	木凡
蟻	虫戈
慰	尸心
履	尸夂
襪	衤丶
嫖	女示
礙	石止
獄	犭犬
闢	門辛
蟬	虫十
違	之㐄
絞	絲乂
劣	小力
貶	貝之
斧	八斤
簇	⺮矢
擋	扌小
崎	山口
蕩	艹彡
砌	石刀
闌	門四
慼	戊心
葦	艹㐄
瞥	水目
崑	山匕
輓	車儿
鴿	人鳥
懼	忄隹
榔	木阝
障	阝十
疇	田寸
揣	扌而
咯	口夂
誦	言用
綜	絲示
劃	彐刂
駁	馬乂
拴	扌王
聳	行耳
燭	火虫
襖	衤大
臘	月巛
吏	大丶
堰	土女
棺	木㠯
腥	月生
羨	羊欠
阜	丿十
剖	立刂
羹	羊大
剃	丷刂
焙	火立
竊	穴厶
轎	車口
臧	爿臣
瞿	目隹
蜘	虫口
肅	彐爿
抬	扌厶
鑿	业金
膿	月辰
懿	士心
翎	人习
瀚	氵习
繃	絲月
滲	氵厶
棧	木戈
鱗	魚㐄
辜	十辛
筐	⺮王
膊	月寸
摺	扌白
剁	几刂
彆	水弓
竿	⺮十
鈔	金丿
鏟	金生
驛	馬半
鱉	水魚
稜	禾夂
紐	絲十
鶯	火鳥
緻	絲攵
壕	土豕
熄	火心
勵	厂力
毓	𠂉川
縷	絲女
瞟	目示
舅	臼力
錚	金彐
阪	阝又
啼	口巾
繭	艹虫
鬱	牛彡
曠	日八
諦	言巾
褪	衤艮
鞠	革米
彰	立彡
酬	酉川
啪	口白
遁	之目
晝	彐一
殲	一一
樸	木羊
窟	穴山
鈍	金凵
愿	厂心
奚	爪大
誼	言且
紛	絲刀
腮	月心
鍍	金又
嘩	口工
蜢	虫皿
猿	犭𧘇
撬	扌毛
巍	山鬼
擎	艹手
詐	言卜
絃	絲幺
胚	月一
楷	木白
傻	亻鬼
迭	之人
蹄	足巾
穫	禾又
褐	衤乚
丞	㇕一
梭	木夂
痴	疒口
鎊	金方
畜	亠田
廬	广皿
粽	米示
鸞	言鳥
宵	宀月
嚷	口𧘇
絮	女絲
駝	馬匕
箏	⺮彐
肇	户二
窪	穴土
岐	山又
睬	目木
璧	尸丶
嶼	山八
斃	水匕
秩	禾牛
怔	忄止
焚	木火
鷗	匚鳥
癖	疒辛
灼	火丶
荐	艹子
岱	亻山
麓	木鹿
嚎	口豕
鏢	金示
涇	氵工
械	木艹
噗	口羊
筠	⺮冫
諧	言白
癲	疒頁
瓢	西瓜
裳	小𧘇
謊	言川
竭	立乚
抹	扌一
諫	言四
絡	絲夂
戟	十戈
韜	韋臼
胥	㇕月
縛	絲寸
嬸	女田
蠍	虫欠
癱	疒隹
鞘	革月
